Neighbor strategy,Num neighbors,Best Y,Num. iterations,Time
create_all_neighbors,2,85958.37020849997,10000,11.95418405532837
create_all_neighbors,4,85958.37020849997,10000,11.908141851425171
create_all_neighbors,8,85958.37020849997,10000,11.955725193023682
create_all_neighbors,16,85958.37020849997,10000,11.983408212661743
create_all_neighbors,32,85958.37020849997,10000,11.996913194656372
create_all_neighbors,64,85958.37020849997,10000,12.415627002716064
create_all_neighbors,2,85958.37020849997,100000,12.093321800231934
create_all_neighbors,4,85958.37020849997,100000,12.035183191299438
create_all_neighbors,8,85958.37020849997,100000,11.90114426612854
create_all_neighbors,16,85958.37020849997,100000,11.91703176498413
create_all_neighbors,32,85958.37020849997,100000,11.870044946670532
create_all_neighbors,64,85958.37020849997,100000,12.102545022964478
create_all_neighbors,2,85958.37020849997,1000000,11.971698760986328
create_all_neighbors,4,85958.37020849997,1000000,11.955490112304688
create_all_neighbors,8,85958.37020849997,1000000,11.992536067962646
create_all_neighbors,16,85958.37020849997,1000000,11.946835279464722
create_all_neighbors,32,85958.37020849997,1000000,11.88306713104248
create_all_neighbors,64,85958.37020849997,1000000,11.921360731124878
create_all_neighbors,2,85958.37020849997,10000000,11.971495866775513
create_all_neighbors,4,85958.37020849997,10000000,11.993632078170776
create_all_neighbors,8,85958.37020849997,10000000,11.928944826126099
create_all_neighbors,16,85958.37020849997,10000000,11.95369005203247
create_all_neighbors,32,85958.37020849997,10000000,11.962520122528076
create_all_neighbors,64,85958.37020849997,10000000,12.010143995285034
