Neighbor strategy,Num neighbors,Best Y,Num. iterations,Time
create_neighbors_one_change,2,72131.07192913184,10000,0.03467273712158203
create_neighbors_one_change,4,71893.41332532276,10000,0.04835104942321777
create_neighbors_one_change,8,85191.18839031814,10000,2.1014630794525146
create_neighbors_one_change,16,85500.18839031814,10000,6.045283794403076
create_neighbors_one_change,32,85704.78931554787,10000,16.218119859695435
create_neighbors_one_change,64,85899.46111759088,10000,42.68383598327637
create_neighbors_one_change,2,71613.53696610985,100000,0.021107912063598633
create_neighbors_one_change,4,76345.3420064636,100000,0.28366804122924805
create_neighbors_one_change,8,85116.46111759088,100000,2.0900769233703613
create_neighbors_one_change,16,85604.42567918423,100000,7.268107175827026
create_neighbors_one_change,32,85832.6429357727,100000,19.393837213516235
create_neighbors_one_change,64,85958.37020849997,100000,129.11496496200562
create_neighbors_one_change,2,72890.60374383949,1000000,0.055745840072631836
create_neighbors_one_change,4,74069.13791188832,1000000,0.15958929061889648
create_neighbors_one_change,8,83909.30641887432,1000000,1.6222307682037354
create_neighbors_one_change,16,85621.60749736606,1000000,7.35986590385437
create_neighbors_one_change,32,85599.18839031814,1000000,13.921633005142212
create_neighbors_one_change,64,85877.37020849997,1000000,41.194422006607056
create_neighbors_one_change,2,72444.66149111869,10000000,0.04132986068725586
create_neighbors_one_change,4,76145.46253814212,10000000,0.268247127532959
create_neighbors_one_change,8,80346.2587550143,10000000,1.0266308784484863
create_neighbors_one_change,16,85305.24386100241,10000000,4.557528257369995
create_neighbors_one_change,32,85777.82475395451,10000000,17.9424729347229
create_neighbors_one_change,64,85936.27929940907,10000000,44.735514879226685
