Neighbor strategy,Num neighbors,Best Y,Num. iterations,Step,Time
create_multi_change_neighbors,2,74481.34933217717,10000,10,0.03504014015197754
create_multi_change_neighbors,4,83385.3472500944,10000,10,0.2699620723724365
create_multi_change_neighbors,8,84556.12264031748,10000,10,0.5654158592224121
create_multi_change_neighbors,16,85266.84991304477,10000,10,1.8009138107299805
create_multi_change_neighbors,32,85696.55202668179,10000,10,5.395132780075073
create_multi_change_neighbors,64,85853.6429357727,10000,10,11.258876323699951
create_multi_change_neighbors,2,76502.71071878614,10000,20,0.034848690032958984
create_multi_change_neighbors,4,84857.21354940839,10000,20,0.26250720024108887
create_multi_change_neighbors,8,84689.21354940842,10000,20,0.2869758605957031
create_multi_change_neighbors,16,85516.12264031751,10000,20,1.5247299671173096
create_multi_change_neighbors,32,85661.67170294862,10000,20,2.805245876312256
create_multi_change_neighbors,64,85943.12624840316,10000,20,7.669424057006836
create_multi_change_neighbors,2,75649.66847687132,10000,40,0.027875185012817383
create_multi_change_neighbors,4,84659.46513451147,10000,40,0.14748907089233398
create_multi_change_neighbors,8,84707.12624840316,10000,40,0.17655396461486816
create_multi_change_neighbors,16,84988.58079385772,10000,40,0.5691418647766113
create_multi_change_neighbors,32,85136.94443022134,10000,40,1.054800033569336
create_multi_change_neighbors,64,85318.03533931228,10000,40,2.4719059467315674
create_multi_change_neighbors,2,74617.71296854079,10000,60,0.020750045776367188
create_multi_change_neighbors,4,80239.89511865066,10000,60,0.04885506629943848
create_multi_change_neighbors,8,84503.12624840316,10000,60,0.20222687721252441
create_multi_change_neighbors,16,84686.39897567587,10000,60,0.23050284385681152
create_multi_change_neighbors,32,84925.30806658498,10000,60,0.5676181316375732
create_multi_change_neighbors,64,84931.85352113046,10000,60,1.5809900760650635
create_multi_change_neighbors,2,84335.5309738804,10000,80,0.04182624816894531
create_multi_change_neighbors,4,79013.22585181733,10000,80,0.03508186340332031
create_multi_change_neighbors,8,84854.80370115314,10000,80,0.14696764945983887
create_multi_change_neighbors,16,85011.89461024407,10000,80,0.45809197425842285
create_multi_change_neighbors,32,85291.16733751676,10000,80,0.7893528938293457
create_multi_change_neighbors,64,85291.16733751677,10000,80,1.6072111129760742
create_multi_change_neighbors,2,76432.89253696795,10000,100,0.020958900451660156
create_multi_change_neighbors,4,84606.07642842589,10000,100,0.07795572280883789
create_multi_change_neighbors,8,84202.44006478952,10000,100,0.12134289741516113
create_multi_change_neighbors,16,84895.16733751679,10000,100,0.23508906364440918
create_multi_change_neighbors,32,84442.44006478952,10000,100,0.3445858955383301
create_multi_change_neighbors,64,85795.16733751679,10000,100,1.8214528560638428
create_multi_change_neighbors,2,72895.78556202131,100000,10,0.020986080169677734
create_multi_change_neighbors,4,73553.24190580797,100000,10,0.07665300369262695
create_multi_change_neighbors,8,84849.46111759088,100000,10,0.675123929977417
create_multi_change_neighbors,16,85700.37020849997,100000,10,2.870677947998047
create_multi_change_neighbors,32,85853.6429357727,100000,10,6.3037261962890625
create_multi_change_neighbors,64,85838.91566304544,100000,10,10.34615182876587
create_multi_change_neighbors,2,72392.02512748232,100000,20,0.020990848541259766
