Neighbor strategy,Evaluation strategy,Best Y,Num neighbors,Num. iterations,Step,Time
create_one_change_neighbors,greedy_selection_eval,85843.85352113043,16,10000,20,2.6427340507507324
create_one_change_neighbors,greedy_selection_eval,85947.4898847668,32,10000,20,6.048142910003662
create_one_change_neighbors,greedy_selection_eval,85947.4898847668,64,10000,20,12.278280973434448
create_one_change_neighbors,greedy_selection_eval,85242.30445849932,16,100000,20,1.2058961391448975
create_one_change_neighbors,greedy_selection_eval,85947.4898847668,32,100000,20,6.025186061859131
create_one_change_neighbors,greedy_selection_eval,85829.6717029486,64,100000,20,10.249393224716187
create_one_change_neighbors,greedy_selection_eval,85325.21354940839,16,1000000,20,1.2534420490264893
create_one_change_neighbors,greedy_selection_eval,85859.12624840316,32,1000000,20,5.372874736785889
create_one_change_neighbors,greedy_selection_eval,85947.4898847668,64,1000000,20,12.066611289978027
create_one_change_neighbors,greedy_selection_eval,85709.21354940842,16,10000000,20,2.158449172973633
create_one_change_neighbors,greedy_selection_eval,85909.94082213567,32,10000000,20,5.721800804138184
create_one_change_neighbors,greedy_selection_eval,85947.4898847668,64,10000000,20,12.155458688735962
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,16,10000,20,3.1609718799591064
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,32,10000,20,3.068863868713379
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,64,10000,20,3.0635509490966797
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,16,100000,20,3.0687038898468018
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,32,100000,20,3.087712049484253
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,64,100000,20,3.0678770542144775
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,16,1000000,20,3.0587480068206787
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,32,1000000,20,3.0706639289855957
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,64,1000000,20,3.054133892059326
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,16,10000000,20,3.0594260692596436
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,32,10000000,20,3.081753730773926
create_exhaustive_neighbors,greedy_selection_eval,85947.4898847668,64,10000000,20,3.0737688541412354
create_multi_change_neighbors,greedy_selection_eval,85589.67170294862,16,10000,20,1.618502140045166
create_multi_change_neighbors,greedy_selection_eval,85802.3989756759,32,10000,20,2.4300270080566406
create_multi_change_neighbors,greedy_selection_eval,85943.12624840316,64,10000,20,6.4353649616241455
create_multi_change_neighbors,greedy_selection_eval,85187.75900395383,16,100000,20,0.8030729293823242
create_multi_change_neighbors,greedy_selection_eval,85945.30806658498,32,100000,20,4.259433031082153
create_multi_change_neighbors,greedy_selection_eval,85942.03533931225,64,100000,20,8.407275199890137
create_multi_change_neighbors,greedy_selection_eval,85604.48627668114,16,1000000,20,1.4878242015838623
create_multi_change_neighbors,greedy_selection_eval,85913.67170294862,32,1000000,20,3.644892930984497
create_multi_change_neighbors,greedy_selection_eval,85943.12624840316,64,1000000,20,7.991238832473755
create_multi_change_neighbors,greedy_selection_eval,85296.84991304473,16,10000000,20,1.197544813156128
create_multi_change_neighbors,greedy_selection_eval,85940.94443022134,32,10000000,20,4.0747740268707275
create_multi_change_neighbors,greedy_selection_eval,85942.03533931225,64,10000000,20,7.085997104644775
