Evaluation strategy,Neighbor strategy,Best Y,Num neighbors,Num. iterations,Step,Time
greedy_selection_eval,create_multi_change_neighbors,121836.2726318578,2,10000,10,0.03099799156188965
greedy_selection_eval,create_multi_change_neighbors,122141.86585223106,4,10000,10,0.16173791885375977
greedy_selection_eval,create_multi_change_neighbors,122115.56845959915,8,10000,10,0.289776086807251
greedy_selection_eval,create_multi_change_neighbors,123668.75750177358,16,10000,10,5.9557130336761475
greedy_selection_eval,create_multi_change_neighbors,123606.77347699263,32,10000,10,9.199787139892578
greedy_selection_eval,create_multi_change_neighbors,123664.1179596956,64,10000,10,16.00774312019348
greedy_selection_eval,create_multi_change_neighbors,121807.07152033046,2,10000,20,0.023015975952148438
greedy_selection_eval,create_multi_change_neighbors,122168.16052815966,4,10000,20,0.09963631629943848
greedy_selection_eval,create_multi_change_neighbors,122857.90888347478,8,10000,20,0.4663569927215576
greedy_selection_eval,create_multi_change_neighbors,123331.12178681022,16,10000,20,1.6593890190124512
greedy_selection_eval,create_multi_change_neighbors,123648.50159127833,32,10000,20,4.948575973510742
greedy_selection_eval,create_multi_change_neighbors,123761.91351664808,64,10000,20,11.842471361160278
greedy_selection_eval,create_multi_change_neighbors,122144.81801808215,2,10000,40,0.03094005584716797
greedy_selection_eval,create_multi_change_neighbors,122291.12711812474,4,10000,40,0.10030269622802734
greedy_selection_eval,create_multi_change_neighbors,122018.90713123746,8,10000,40,0.06936240196228027
greedy_selection_eval,create_multi_change_neighbors,122999.67037809496,16,10000,40,0.868459939956665
greedy_selection_eval,create_multi_change_neighbors,123271.64786139892,32,10000,40,1.968768835067749
greedy_selection_eval,create_multi_change_neighbors,123242.60383385193,64,10000,40,3.4343600273132324
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,10000,60,0.015395879745483398
greedy_selection_eval,create_multi_change_neighbors,122702.4123650258,4,10000,60,0.11507511138916016
greedy_selection_eval,create_multi_change_neighbors,122778.41328791116,8,10000,60,0.2872319221496582
greedy_selection_eval,create_multi_change_neighbors,122339.92664511835,16,10000,60,0.25417399406433105
greedy_selection_eval,create_multi_change_neighbors,122563.53589956647,32,10000,60,0.4995748996734619
greedy_selection_eval,create_multi_change_neighbors,122894.4467192242,64,10000,60,2.477666139602661
greedy_selection_eval,create_multi_change_neighbors,121854.06454557591,2,10000,80,0.0231931209564209
greedy_selection_eval,create_multi_change_neighbors,122095.2918681553,4,10000,80,0.03849005699157715
greedy_selection_eval,create_multi_change_neighbors,122292.61965602741,8,10000,80,0.13043594360351562
greedy_selection_eval,create_multi_change_neighbors,123103.72710063617,16,10000,80,0.3751060962677002
greedy_selection_eval,create_multi_change_neighbors,123327.80729457455,32,10000,80,1.4805991649627686
greedy_selection_eval,create_multi_change_neighbors,123026.2623959094,64,10000,80,1.4801857471466064
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,2,10000,100,0.01532888412475586
greedy_selection_eval,create_multi_change_neighbors,121782.65765252206,4,10000,100,0.022947072982788086
greedy_selection_eval,create_multi_change_neighbors,123523.43235417278,8,10000,100,0.2857198715209961
greedy_selection_eval,create_multi_change_neighbors,123665.6434450975,16,10000,100,0.7487492561340332
greedy_selection_eval,create_multi_change_neighbors,123312.1341155118,32,10000,100,0.8686270713806152
greedy_selection_eval,create_multi_change_neighbors,123787.39999843219,64,10000,100,3.4657959938049316
greedy_selection_eval,create_multi_change_neighbors,121898.9797358768,2,100000,10,0.03050398826599121
greedy_selection_eval,create_multi_change_neighbors,122042.42469345535,4,100000,10,0.1337738037109375
greedy_selection_eval,create_multi_change_neighbors,123165.73637363459,8,100000,10,1.5491540431976318
greedy_selection_eval,create_multi_change_neighbors,123596.69645668638,16,100000,10,4.658062934875488
