Evaluation strategy,Best Y,Num. iterations,Step,Time
first_improvement_eval,85811.09748122723,10000,10,6.214669227600098
first_improvement_eval,85947.4898847668,10000,20,3.6620609760284424
first_improvement_eval,84929.67170294863,10000,40,0.8619000911712646
first_improvement_eval,84211.85352113044,10000,60,0.42560887336730957
first_improvement_eval,84331.16733751679,10000,80,0.3740708827972412
first_improvement_eval,84453.34915569861,10000,100,0.32172298431396484
first_improvement_eval,85811.09748122723,100000,10,6.231147050857544
first_improvement_eval,85947.4898847668,100000,20,3.6297290325164795
first_improvement_eval,84929.67170294863,100000,40,0.8684248924255371
first_improvement_eval,84211.85352113044,100000,60,0.4247560501098633
first_improvement_eval,84331.16733751679,100000,80,0.3750441074371338
first_improvement_eval,84453.34915569861,100000,100,0.32298898696899414
first_improvement_eval,85811.09748122723,1000000,10,6.220632791519165
first_improvement_eval,85947.4898847668,1000000,20,3.6462268829345703
first_improvement_eval,84929.67170294863,1000000,40,0.8901281356811523
first_improvement_eval,84211.85352113044,1000000,60,0.4221189022064209
first_improvement_eval,84331.16733751679,1000000,80,0.37265467643737793
first_improvement_eval,84453.34915569861,1000000,100,0.31962013244628906
first_improvement_eval,85811.09748122723,10000000,10,6.186791896820068
first_improvement_eval,85947.4898847668,10000000,20,3.6240620613098145
first_improvement_eval,84929.67170294863,10000000,40,0.861464262008667
first_improvement_eval,84211.85352113044,10000000,60,0.42063188552856445
first_improvement_eval,84331.16733751679,10000000,80,0.3731350898742676
first_improvement_eval,84453.34915569861,10000000,100,0.3241598606109619
