Evaluation strategy,Best Y,Num. iterations,Step,Time
greedy_selection_eval,85811.09748122723,10000,10,5.016602039337158
greedy_selection_eval,85947.4898847668,10000,20,3.060281991958618
greedy_selection_eval,85078.03533931225,10000,40,0.6351916790008545
greedy_selection_eval,84840.21715749407,10000,60,0.42668890953063965
greedy_selection_eval,85011.89461024404,10000,80,0.3776969909667969
greedy_selection_eval,85249.71279206224,10000,100,0.32491493225097656
greedy_selection_eval,85811.09748122723,100000,10,5.002923011779785
greedy_selection_eval,85947.4898847668,100000,20,3.032844066619873
greedy_selection_eval,85078.03533931225,100000,40,0.6298391819000244
greedy_selection_eval,84840.21715749407,100000,60,0.4229609966278076
greedy_selection_eval,85011.89461024404,100000,80,0.3720672130584717
greedy_selection_eval,85249.71279206224,100000,100,0.31979990005493164
greedy_selection_eval,85811.09748122723,1000000,10,4.979405879974365
greedy_selection_eval,85947.4898847668,1000000,20,3.0544981956481934
greedy_selection_eval,85078.03533931225,1000000,40,0.627737283706665
greedy_selection_eval,84840.21715749407,1000000,60,0.4170501232147217
greedy_selection_eval,85011.89461024404,1000000,80,0.37017083168029785
greedy_selection_eval,85249.71279206224,1000000,100,0.3191492557525635
greedy_selection_eval,85811.09748122723,10000000,10,5.062309980392456
greedy_selection_eval,85947.4898847668,10000000,20,3.081645965576172
greedy_selection_eval,85078.03533931225,10000000,40,0.645496129989624
greedy_selection_eval,84840.21715749407,10000000,60,0.4444160461425781
greedy_selection_eval,85011.89461024404,10000000,80,0.37331199645996094
greedy_selection_eval,85249.71279206224,10000000,100,0.3195381164550781
